qid,question_text,target,preprocessed_text
b3b9d6c4905fbb629320,"What is the output? #include<stdio.h> int main() {extern int I; I = 20; printf (""%d\n"", sizeof(i)); return 0;}?",0,"['output', 'include', 'stdio', 'h', 'int', 'main', 'extern', 'int', '20', 'printf', 'n', 'sizeof', 'return', '0']"
10bdd2189f7b755fc65a,Is Germany's public ban on dancing on religious holidays outdated?,0,"['germany', 'public', 'ban', 'dancing', 'religious', 'holiday', 'outdated']"
4cbde50284924f9cd648,What is a wave speed unit?,0,"['wave', 'speed', 'unit']"
0479ce1aa3e130d762a4,Can we drink hot water daily?,0,"['drink', 'hot', 'water', 'daily']"
c21258e2ca5cf14d05d0,Is starch a pure compound?,0,"['starch', 'pure', 'compound']"
41acba91218cb99e7399,"While applying for entrance exams, should I fill 'Intermediate XII Standard' with passed in 2016 or 'appearing' as I am giving improvement this year?",0,"['applying', 'entrance', 'exam', 'fill', 'intermediate', 'xii', 'standard', 'passed', '2016', 'appearing', 'giving', 'improvement', 'year']"
6ed0f52a5c049fd575f8,Why am I so desperate to be sociable?,0,"['desperate', 'sociable']"
b92a93b48eb315a60f41,Can police trace origin of Instagram account?,0,"['police', 'trace', 'origin', 'instagram', 'account']"
17617088eefddf60767b,Should I pursue integrated MSc in chemistry from NIT Surat? What are advantages of going to such a good college?,0,"['pursue', 'integrated', 'msc', 'chemistry', 'nit', 'surat', 'advantage', 'going', 'good', 'college']"
ce95d3e62c47deb6b8e2,Do you work in industrial training in a company?,0,"['work', 'industrial', 'training', 'company']"
5ae7db06c9b46ed7eb06,Why is my blog not showing on Facebook free services after being approved?,0,"['blog', 'showing', 'facebook', 'free', 'service', 'approved']"
d194310ee1a53cb96356,What were the 6 causes of the French revolution?,0,"['6', 'cause', 'french', 'revolution']"
174210403113fc55aea8,What are some new military rifles coming out recently?,0,"['new', 'military', 'rifle', 'coming', 'recently']"
c76c4bcfd72465cedf6d,How do we identify the type of drainage pattern in topography? Is there any simple way to understand it?,0,"['identify', 'type', 'drainage', 'pattern', 'topography', 'simple', 'way', 'understand']"
f5cda1fcdcea852e8f1c,Is greed really a disease or an addiction like drugs?,0,"['greed', 'really', 'disease', 'addiction', 'like', 'drug']"
70d7574b5ca592acb757,What should I do if I cannot take a joke or if I feel people are trying to provoke me?,0,"['cannot', 'take', 'joke', 'feel', 'people', 'trying', 'provoke']"
7b40a15d254de4c056a7,Can an animal control officer ask for immigration papers/immigration status?,0,"['animal', 'control', 'officer', 'ask', 'immigration', 'paper', 'immigration', 'status']"
be6e1b45743bf8da50e0,Is tetrahedral meshing good for static analysis of a beams?,0,"['tetrahedral', 'meshing', 'good', 'static', 'analysis', 'beam']"
9dc398e95ca6d81ad3b8,What is the mother tongue of banias?,0,"['mother', 'tongue', 'banias']"
be1e65ca160f1ef5deed,Which are your favourite ad films?,0,"['favourite', 'ad', 'film']"
f7831253be69325a5595,Where is a good place to meet women at 40?,0,"['good', 'place', 'meet', 'woman', '40']"
1e18dea06576a779052e,"I rarely gossip, does that mean people gossip about me a lot?",0,"['rarely', 'gossip', 'doe', 'mean', 'people', 'gossip', 'lot']"
6c66ff2ee2310abb4f1d,Is it possible to standby a day earlier on bolt bus without paying extra if seats are available?,0,"['possible', 'standby', 'day', 'earlier', 'bolt', 'bus', 'without', 'paying', 'extra', 'seat', 'available']"
98847c2ffcb8aaa909cc,Should I break contact with my crush if they don't want to be more than just friends?,0,"['break', 'contact', 'crush', 'want', 'friend']"
eb0fbc2efbdab69c41ef,"If your answer view has died for a few days, is it possible for it to increase later?",0,"['answer', 'view', 'ha', 'died', 'day', 'possible', 'increase', 'later']"
3193780605e130160652,Who are the most famous Poles?,0,"['famous', 'pole']"
3d2738b48868981f4710,Have you heard any comments from Neil deGrasse Tyson regarding whether talented Black educational communicators like himself should focus their efforts on the young Black community rather than the larger audience?,0,"['heard', 'comment', 'neil', 'degrasse', 'tyson', 'regarding', 'whether', 'talented', 'black', 'educational', 'communicator', 'like', 'focus', 'effort', 'young', 'black', 'community', 'rather', 'larger', 'audience']"
7e64542a41d68a33db96,Can two numbers have 14 as their HCF and 204 as their LCM?,0,"['two', 'number', '14', 'hcf', '204', 'lcm']"
f3ed530a9945d31fa172,Should I take further maths in A-level next year and will it help in my degree in engineering?,0,"['take', 'math', 'level', 'next', 'year', 'help', 'degree', 'engineering']"
666f2162bf5079d80343,why is that i am not satisfied even after mastrubation?,0,"['satisfied', 'even', 'mastrubation']"
17c19f85aa9fd01a6802,What are 10 interesting facts about Ancient Rome?,0,"['10', 'interesting', 'fact', 'ancient', 'rome']"
575abbdd3c65f5954adc,What's the difference between 煮立て and 沸騰する?,0,"['difference', '煮立て', '沸騰する']"
75ff6d0d6c161914252d,What causes people to use others?,0,"['cause', 'people', 'use', 'others']"
a4231903bbf0c2fdca92,What is wrong with Nestorianism?,0,"['wrong', 'nestorianism']"
527e605e19c9cff12241,What do you think was Malfoy's punishment for letting Harry escape at the Manor?,0,"['think', 'wa', 'malfoy', 'punishment', 'letting', 'harry', 'escape', 'manor']"
6705064f4d92078e1f34,Is it normal to feel suicidal one day but not the next?,0,"['normal', 'feel', 'suicidal', 'one', 'day', 'next']"
fde48d4c40966cb055fb,What are the importance of calendar?,0,"['importance', 'calendar']"
17b167bb2d50fc120eb4,"What is the name of the book written on the effect of price and liquidity on asset value, by the author worked in Soros?",0,"['name', 'book', 'written', 'effect', 'price', 'liquidity', 'asset', 'value', 'author', 'worked', 'soros']"
1ceedf9bcbcd1c1adf6e,"Does drinking alcohol has any role in socializing and bonding with your friends? What if a friend does not drink alcohol, would you be less likely to get close to them just because the liquid in their glass does not have alcohol (North America)?",0,"['doe', 'drinking', 'alcohol', 'ha', 'role', 'socializing', 'bonding', 'friend', 'friend', 'doe', 'drink', 'alcohol', 'would', 'le', 'likely', 'get', 'close', 'liquid', 'glass', 'doe', 'alcohol', 'north', 'america']"
5dcec946478d69067f84,Where are the most of people employed?,0,"['people', 'employed']"
d06fcc82735066dcd67d,What are the necessary and basic steps I should start with to appear for the UPSC exam?,0,"['necessary', 'basic', 'step', 'start', 'appear', 'upsc', 'exam']"
76b57fbe11b4528a5e99,What were the differences between Namibian and South African apartheid?,0,"['difference', 'namibian', 'south', 'african', 'apartheid']"
9deae3363f044086b2bc,How is it like to be 6'5 tall?,0,"['like', '6', '5', 'tall']"
ead24571d4c9f1f7f4b0,"If Kim Jong-un were president of the US for one week, what would happen?",0,"['kim', 'jong', 'un', 'president', 'u', 'one', 'week', 'would', 'happen']"
0318b82dc3107321ae43,How do I get out of the matrix?,0,"['get', 'matrix']"
2206ead28207b697899e,How can I control my negative thinking habit?,0,"['control', 'negative', 'thinking', 'habit']"
5203dae911a8d9a87958,Where is the good place to sell mosquito trap product in America?,0,"['good', 'place', 'sell', 'mosquito', 'trap', 'product', 'america']"
0f20c480aba422242171,How solve the dowry system?,0,"['solve', 'dowry', 'system']"
206138a14c90ce1bdb1d,How is Jackie Chan's acting in The Foreigner?,0,"['jackie', 'chan', 'acting', 'foreigner']"
17c5bef8da3552dd27d6,"Which smart phone does not hang up it self, except Apple smart phone?",0,"['smart', 'phone', 'doe', 'hang', 'self', 'except', 'apple', 'smart', 'phone']"
23e15d3094a2396f4381,How do I come out strong from a narcissist ex who tried to do nothing but destroy me?,0,"['come', 'strong', 'narcissist', 'ex', 'tried', 'nothing', 'destroy']"
92a76efc43abf39386eb,Which type of wave can travel long distance: high frequency or low frequency?,0,"['type', 'wave', 'travel', 'long', 'distance', 'high', 'frequency', 'low', 'frequency']"
f976bf31e51e183770e3,What are the natural substances (if any) which can abrasive acne scars with the efficiency of a laser?,0,"['natural', 'substance', 'abrasive', 'acne', 'scar', 'efficiency', 'laser']"
01cc0133a2393b17ff09,What are some adaptations of the pasqueflower to the environment?,0,"['adaptation', 'pasqueflower', 'environment']"
8cc2b94a003c753a800e,"What is the cost of 1RK flats for rent in Sector 15 Part 1, Gurgaon?",0,"['cost', '1rk', 'flat', 'rent', 'sector', '15', 'part', '1', 'gurgaon']"
b4f1c269f388ae5124d3,What are the most promising small business opportunities this year?,0,"['promising', 'small', 'business', 'opportunity', 'year']"
71c985b9a429b9f0498f,How can I personally contact Jain for guidance?,0,"['personally', 'contact', 'jain', 'guidance']"
bda171ec597f9b61d6ff,How can I get my stolen my lottery tickets back and they can be traced?,0,"['get', 'stolen', 'lottery', 'ticket', 'back', 'traced']"
f7630d26cf5ad731f556,Do all wives of arabs stay under the same roof.?,0,"['wife', 'arab', 'stay', 'roof']"
7ae3eca352b915dee3d8,Does CBSE give out certificates to country wide subject toppers in class 12th?,0,"['doe', 'cbse', 'give', 'certificate', 'country', 'wide', 'subject', 'topper', 'class', '12th']"
5967ad55bef83fa10f91,What are some signs other people think you are beautiful looking?,0,"['sign', 'people', 'think', 'beautiful', 'looking']"
6453086ef21e292e9797,Can anyone ever truly recover their personality after the depression that follows a one time meth use?,0,"['anyone', 'ever', 'truly', 'recover', 'personality', 'depression', 'follows', 'one', 'time', 'meth', 'use']"
d16de8b8192d002db221,"What can I do if I, as a business owner, humiliated myself 10 years ago on the internet?",0,"['business', 'owner', 'humiliated', '10', 'year', 'ago', 'internet']"
fcc69d3bf27bf5ae0180,What do fundamental Christians think about the United Nations with respect to the prophecies in the Book of Revelations? Would they disband it if they could?,0,"['fundamental', 'christian', 'think', 'united', 'nation', 'respect', 'prophecy', 'book', 'revelation', 'would', 'disband', 'could']"
2684943059ec594ada96,How can I convince flight attendant for an upgrade?,0,"['convince', 'flight', 'attendant', 'upgrade']"
b2e5fa2aa7f204be5f28,What were the highlights of Fred Kirby's career as an artist?,0,"['highlight', 'fred', 'kirby', 'career', 'artist']"
152c154f666c1db014f9,Who is the richest Malayali?,0,"['richest', 'malayali']"
7d22cb3011b28eb24ce4,What era would you have preferred to live your 20’s in?,0,"['era', 'would', 'preferred', 'live', '20']"
b35cbee0afcf114d23eb,How could such creature like the brain-eating amoeba easily get over our immune system and devour our brain?,0,"['could', 'creature', 'like', 'brain', 'eating', 'amoeba', 'easily', 'get', 'immune', 'system', 'devour', 'brain']"
280ebc317abe137876bb,"What inspired William Faulkner for writing the short story ""Barn Burning""?",0,"['inspired', 'william', 'faulkner', 'writing', 'short', 'story', 'barn', 'burning']"
ef0ebe29d31c4b4acea5,Why should I pursue engineering?,0,"['pursue', 'engineering']"
1b8ce2087fbfbfb8b0c2,Can any function f(x) be simplified as ax^b?,0,"['function', 'f', 'x', 'simplified', 'ax', 'b']"
648aa9925899f0e384df,Why do song information only include the DJ as the main contributor instead of the other way round (i.e. mention the singer first)?,0,"['song', 'information', 'include', 'dj', 'main', 'contributor', 'instead', 'way', 'round', 'e', 'mention', 'singer', 'first']"
2a09cd3eb5694c6b5c2a,Can I replace 100/80 18 tyre with 90/90 in Honda livo?,0,"['replace', '100', '80', '18', 'tyre', '90', '90', 'honda', 'livo']"
ad983c08a87867d8d183,Why do so many people become homeless?,0,"['many', 'people', 'become', 'homeless']"
931bd581cad610d4e4ab,What is the natural habitat of the Kabul Markhor or straight-horned Markhor in Pakistan?,0,"['natural', 'habitat', 'kabul', 'markhor', 'straight', 'horned', 'markhor', 'pakistan']"
d67c52cdc28a06f184b5,Is there any way to live outside of the US for more than a year without abandon my permanent residence status?,0,"['way', 'live', 'outside', 'u', 'year', 'without', 'abandon', 'permanent', 'residence', 'status']"
279d21fa58a3364da98b,Is capital gain from selling shares on NASDAQ taxable in India if the shares have been held more than 1 year?,0,"['capital', 'gain', 'selling', 'share', 'nasdaq', 'taxable', 'india', 'share', 'held', '1', 'year']"
8c6a5cdf1741e9c999ba,How do I gain my power back in a relationship?,0,"['gain', 'power', 'back', 'relationship']"
8d4d9eba2d4af61b669c,What is spiritual value?,0,"['spiritual', 'value']"
03617f5a6cf523de9c2d,Do you fear fear itself?,0,"['fear', 'fear']"
899d35a111f8a23d2408,"In case of a war, which side would India be on?",0,"['case', 'war', 'side', 'would', 'india']"
728491aed1ddfafa8ee0,What is the recoil of a Remington 1100 shotgun like?,0,"['recoil', 'remington', '1100', 'shotgun', 'like']"
b21f06b4b0b67abafad3,What are the disadvantages of being overly generous to family and relatives?,0,"['disadvantage', 'overly', 'generous', 'family', 'relative']"
3962394e67e4dfd14494,Do people like buying second-hand things? Why(not)?,0,"['people', 'like', 'buying', 'second', 'hand', 'thing']"
e9dc1a9a4a29e915a043,What are some tips to improve the performance/responsiveness of a Debian-based VM (without new hardware)?,0,"['tip', 'improve', 'performance', 'responsiveness', 'debian', 'based', 'vm', 'without', 'new', 'hardware']"
aa2190bff734c47fd3ac,Should I take mechanical in IIIT Kancheepuram or Chenical Engineering in Nits like Rourkela and Nagpur?,0,"['take', 'mechanical', 'iiit', 'kancheepuram', 'chenical', 'engineering', 'nit', 'like', 'rourkela', 'nagpur']"
00849ba6edb90fd64131,Is there any element of truth when losing candidates question the efficacy of EVMs? Can EVMs be really manipulated?,0,"['element', 'truth', 'losing', 'candidate', 'question', 'efficacy', 'evms', 'evms', 'really', 'manipulated']"
3a7a00a4da0a93d3aa73,How is it possible for a word in one language to sound like its translation in another language if languages were created independent of each other?,0,"['possible', 'word', 'one', 'language', 'sound', 'like', 'translation', 'another', 'language', 'language', 'created', 'independent']"
877a16b3221755052963,What are some changes that could be made to make schools safer for mass shootings?,0,"['change', 'could', 'made', 'make', 'school', 'safer', 'mass', 'shooting']"
a9676b48e9f92e4684f9,Can you think of any other cases like Col. Purohit's case wherein the NIA (or the SIT) has been negligent in its investigation?,0,"['think', 'case', 'like', 'col', 'purohit', 'case', 'wherein', 'nia', 'sit', 'ha', 'negligent', 'investigation']"
643733112f6d8faf9709,Is there a correlation between intent and accuracy in a gunfight?,0,"['correlation', 'intent', 'accuracy', 'gunfight']"
462b14ce247244617323,Is NCERT sufficient for physics and chemistry boards?,0,"['ncert', 'sufficient', 'physic', 'chemistry', 'board']"
a1ebd545cbad08cc7835,"Were Ethiopia, Liberia, Swaziland and Botswana in fact de jure independent?",0,"['ethiopia', 'liberia', 'swaziland', 'botswana', 'fact', 'de', 'jure', 'independent']"
b5a890b909a2e1c8895f,What are all the sketchy things Google has done?,0,"['sketchy', 'thing', 'google', 'ha', 'done']"
9f49969f2e2d9191152b,What's your review of www.penpalsnow.com site?,0,"['review', 'www', 'penpalsnow', 'com', 'site']"
3ab3cc21d69e035c66b2,Where did Dhritrashtra and Gandhari go after the battle of Mahabharata?,0,"['dhritrashtra', 'gandhari', 'go', 'battle', 'mahabharata']"
8473c07a5e90f1b79dd9,"How do I study till late at night, and not have any side effects?",0,"['study', 'till', 'late', 'night', 'side', 'effect']"
bba004b055bfe771bb34,Is Angelina Jolie's obessesion for becoming a martar loathsome?,0,"['angelina', 'jolie', 'obessesion', 'becoming', 'martar', 'loathsome']"
f2ae5f77c34727dce9ab,Why are there so many questions regarding SnapChat in this forum?,0,"['many', 'question', 'regarding', 'snapchat', 'forum']"
744644611032c1990cab,How do you start a home business?,0,"['start', 'home', 'business']"
d33649425364621e8c78,Do you need a man bun to slackline?,0,"['need', 'man', 'bun', 'slackline']"
26053cae8d96f5c9ddaa,When is the peak tourist period in Hokkaido?,0,"['peak', 'tourist', 'period', 'hokkaido']"
913cfd1443f051aa6292,When will the Steel Authority of India Limited pay revision?,0,"['steel', 'authority', 'india', 'limited', 'pay', 'revision']"
bcdf25600f37bfee64a4,"When is it better to use “位” instead of ""个"" as the person/people measure word/classifier in Mandarin Chinese?",0,"['better', 'use', '位', 'instead', '个', 'person', 'people', 'measure', 'word', 'classifier', 'mandarin', 'chinese']"
5208de4ccd96309b7a71,Are non coders eligible to live?,0,"['non', 'coder', 'eligible', 'live']"
44a9b1c750a3f11d87c5,Where is your favorite place to stop for food on road trips?,0,"['favorite', 'place', 'stop', 'food', 'road', 'trip']"
ac9382676a0e995b1b1a,How many types of elections are there in India?,0,"['many', 'type', 'election', 'india']"
6a48bf6c8e1150a0c286,Could all statements of human language theoretically be compiled to binary code?,0,"['could', 'statement', 'human', 'language', 'theoretically', 'compiled', 'binary', 'code']"
a5a6377a9e0324138ca0,How does Optus Webmail synchronize between platforms?,0,"['doe', 'optus', 'webmail', 'synchronize', 'platform']"
ae19e03e7e3c4ccdd002,"Recently, I'm easily annoyed, everything seems triggering my anger, even a little problem make me almost punch my phone, what's wrong with me?",0,"['recently', 'easily', 'annoyed', 'everything', 'seems', 'triggering', 'anger', 'even', 'little', 'problem', 'make', 'almost', 'punch', 'phone', 'wrong']"
1c64b0ab35d66e155282,What is the speed of earth earth in relation to speed of light?,0,"['speed', 'earth', 'earth', 'relation', 'speed', 'light']"
8e8d4b9e14a998140586,Can you guess my nationality by just looking to my photo?,0,"['guess', 'nationality', 'looking', 'photo']"
485abe07d101acec0ece,"My dog ate chocolate (a small easter egg one) but it has been 7 hours, and he seems fine. Do I still need to do something (he is a yorkshire terrier and about 6-10 lbs.)?",0,"['dog', 'ate', 'chocolate', 'small', 'easter', 'egg', 'one', 'ha', '7', 'hour', 'seems', 'fine', 'still', 'need', 'something', 'yorkshire', 'terrier', '6', '10', 'lb']"
ba998dbfa1853fa2188a,How can someone know how to interpret geophysics data?,0,"['someone', 'know', 'interpret', 'geophysics', 'data']"
fef15c8deb21924b8362,"What is the history of cultures banning slavery? Who banned it first, second, third, etc., and when?",0,"['history', 'culture', 'banning', 'slavery', 'banned', 'first', 'second', 'third', 'etc']"
d6d783ba5c13fc23d66d,What will happen if I am driving a car faster than the speed of light and I turn the headlights on?,0,"['happen', 'driving', 'car', 'faster', 'speed', 'light', 'turn', 'headlight']"
8a9a5dda40a015c9059f,Which is the best Application Based Cables company?,0,"['best', 'application', 'based', 'cable', 'company']"
f03cad61fe2762cc5fa7,How does one deal with stereotypes? My friend feels uncomfortable about the stereotypes of Hispanic girls having sex at a young age. Everybody seems to think that and I believe it makes her feel bad about the sexual things that she does do.,0,"['doe', 'one', 'deal', 'stereotype', 'friend', 'feel', 'uncomfortable', 'stereotype', 'hispanic', 'girl', 'sex', 'young', 'age', 'everybody', 'seems', 'think', 'believe', 'make', 'feel', 'bad', 'sexual', 'thing', 'doe']"
641d02aca3ae27b7eb5f,What is the company that produce Discreet hygeine product of Russia?,0,"['company', 'produce', 'discreet', 'hygeine', 'product', 'russia']"
9085336694ebb0b32fbf,What happens if hair colour enter into stomach?,0,"['happens', 'hair', 'colour', 'enter', 'stomach']"
3b17c782d8e6ec9199e7,Why is Malaysia so anti anything other than Muslim?,0,"['malaysia', 'anti', 'anything', 'muslim']"
055d02e50b9e572e56b5,What is the need for micromachining? Mention the four categories of micromachining techniques,0,"['need', 'micromachining', 'mention', 'four', 'category', 'micromachining', 'technique']"
c3b965379f7b1fa75be3,What are the different branches of science that involve space?,0,"['different', 'branch', 'science', 'involve', 'space']"
fe12062a64c403d26e54,What are the various applications of computer networks?,0,"['various', 'application', 'computer', 'network']"
3ba75b9bbcf0e9b77d9c,What are some good certifications for an aerospace engineering major?,0,"['good', 'certification', 'aerospace', 'engineering', 'major']"
d7201e842d42e5e50ef4,Should I go for Maruti Suzuki Baleno?,0,"['go', 'maruti', 'suzuki', 'baleno']"
a3c84c203bcb1783b12e,Do all transgenders currently have gender dysphobia? Whether they have fully transitioned or not?,0,"['transgenders', 'currently', 'gender', 'dysphobia', 'whether', 'fully', 'transitioned']"
75146297ca92505c6b8c,"In what context should I say ""Vedic"" instead of ""Hindu""?",0,"['context', 'say', 'vedic', 'instead', 'hindu']"
fb237d708ea3af1795b9,Why is Italy a Christian country?,0,"['italy', 'christian', 'country']"
3ef0b9f197a309a6de4d,What is the amount of heat inside the byk engine during running?,0,"['amount', 'heat', 'inside', 'byk', 'engine', 'running']"
4b725d7b2211dc8b3a36,Some people can't admit that (most) women have it easier then men in terms of dating. Why?,0,"['people', 'admit', 'woman', 'easier', 'men', 'term', 'dating']"
209e0b955628373a30a6,What are some jokes that aren't bad?,0,"['joke', 'bad']"
907d48e31b8a47b2f850,Which school offers offshore facilities management diploma/certificate?,0,"['school', 'offer', 'offshore', 'facility', 'management', 'diploma', 'certificate']"
019772c625d73f30f25b,How does Yelp get the data about the restaurants? Do they collect themselves or the restaurants have to register to be on the site?,0,"['doe', 'yelp', 'get', 'data', 'restaurant', 'collect', 'restaurant', 'register', 'site']"
0e6322232c8a965853d0,How do you move past the feeling that your significant other will inevitably cheat on you?,0,"['move', 'past', 'feeling', 'significant', 'inevitably', 'cheat']"
5c0db0290301e03b593f,What are some problems with High Stakes testing?,0,"['problem', 'high', 'stake', 'testing']"
ce5c52709750d9ae2892,Why does everyone on Quora think they have to answer everything like know it all self obsessed big heads?,0,"['doe', 'everyone', 'quora', 'think', 'answer', 'everything', 'like', 'know', 'self', 'obsessed', 'big', 'head']"
49fabd7ba1cda9591b62,How can I build muscle and be healthy if I sleep average 2-4 hours a night?,0,"['build', 'muscle', 'healthy', 'sleep', 'average', '2', '4', 'hour', 'night']"
46b40e0158f700d1c8b1,What is botanical extracts? Who supplies botanical extracts in bulk?,0,"['botanical', 'extract', 'supply', 'botanical', 'extract', 'bulk']"
bf3fe85590c62dead8e2,What are the benefits if an artist or painter could paint equally well with both arms?,0,"['benefit', 'artist', 'painter', 'could', 'paint', 'equally', 'well', 'arm']"
284046b59623799dc5b6,How do I prepare for my medical entry test?,0,"['prepare', 'medical', 'entry', 'test']"
a0b86057004136a0f27a,"Is there a scientific explanation of how the Shaolin ""power"" of Qi Gong gives them the ability to perform feats of strength and power?",0,"['scientific', 'explanation', 'shaolin', 'power', 'qi', 'gong', 'give', 'ability', 'perform', 'feat', 'strength', 'power']"
9fda2d23b1d9a3576d33,Do you believe in power of mind and why?,0,"['believe', 'power', 'mind']"
a74805eb37c60d2f8cc1,How could the whole universe turn into grey goo?,0,"['could', 'whole', 'universe', 'turn', 'grey', 'goo']"
6dad60d1c9a1dda4e6bc,What are the variety edge cutting tools?,0,"['variety', 'edge', 'cutting', 'tool']"
bead7d73e70724cba82f,"How should I study to get better grades, stop my depression caused by bad grades, improve my results and become a good student in high school?",0,"['study', 'get', 'better', 'grade', 'stop', 'depression', 'caused', 'bad', 'grade', 'improve', 'result', 'become', 'good', 'student', 'high', 'school']"
2e112714a29fe0c30e65,Which type of error is eliminated using gray code?,0,"['type', 'error', 'eliminated', 'using', 'gray', 'code']"
8b0fc7fc69f57d41877b,Why do you think that Dunkirk by Nolan is a good movie?,0,"['think', 'dunkirk', 'nolan', 'good', 'movie']"
6dcfb5ea27984dd141c8,"A boy who had previously asked me out is now telling me to go kill myself, why is he doing this and how do I get him to stop?",0,"['boy', 'previously', 'asked', 'telling', 'go', 'kill', 'get', 'stop']"
c0c383224ce4033bcaf9,How should I defend thesis clearly?,0,"['defend', 'thesis', 'clearly']"
719d0937b40e37412e4e,"What is the range of pay package and benefits offered to Associate, JPMorgan Chase, risk analytics in Bangalore?",0,"['range', 'pay', 'package', 'benefit', 'offered', 'associate', 'jpmorgan', 'chase', 'risk', 'analytics', 'bangalore']"
4501bd67a4a43ff7e6f4,Should I separate lovebirds while it is laying egg from other birds?,0,"['separate', 'lovebird', 'laying', 'egg', 'bird']"
2b441488962dceea7f62,Why do nations get into “space races”?,0,"['nation', 'get', 'space', 'race']"
6d0b07c6992b2e16b3c9,What are some common cultural behaviours and traditions of British Pakistani families?,0,"['common', 'cultural', 'behaviour', 'tradition', 'british', 'pakistani', 'family']"
3f646b03dadf7cc141f9,Does chamomile tea kill cancer cells?,0,"['doe', 'chamomile', 'tea', 'kill', 'cancer', 'cell']"
